participant_id,item_id,category,word_length,freq_rank,retention_level,recall_expected_answer,recall_response,recall_correct_gorilla,recognition_expected_answer,recognition_response,recognition_correct_gorilla,proficiency_score,exposure_composite,integrative_motivation_composite,multilingualism_count
16602612,37,verb,4,76,0,feic,feachai,0,to see,watch,0,95,2.8,3.75,0
16602612,38,verb,4,88,0,féad,in ann,0,to be able to,NA,0,95,2.8,3.75,0
16602612,39,verb,6,101,2,éirigh,eirigh,1,NA,NA,NA,95,2.8,3.75,0
16602612,40,verb,4,119,0,iarr,cuir ceist,0,to ask,want,0,95,2.8,3.75,0
16602612,41,verb,5,133,0,imigh,fagail,0,to leave/go away,go,0,95,2.8,3.75,0
16602612,42,verb,4,136,1,lean,leanaigh,0,to follow,follow,0,95,2.8,3.75,0
16602612,43,verb,7,140,2,scríobh,scribh,0,to write,write,0,95,2.8,3.75,0
16602612,44,verb,5,163,2,siúil,suil,0,to walk,walk,0,95,2.8,3.75,0
16602612,45,verb,7,203,1,tosaigh,NA,0,to start,start,0,95,2.8,3.75,0
16602612,46,adjective,5,80,2,ceart,ceart,1,NA,NA,NA,95,2.8,3.75,0
16602612,47,adjective,2,98,2,te,te,1,NA,NA,NA,95,2.8,3.75,0
16602612,48,adjective,2,121,2,óg,og,1,NA,NA,NA,95,2.8,3.75,0
16602612,49,adjective,4,137,2,fada,fada,1,NA,NA,NA,95,2.8,3.75,0
16602612,50,adjective,3,154,2,ard,ard,1,NA,NA,NA,95,2.8,3.75,0
16602612,51,adjective,6,212,NA,iomlán,lan,0,full,enough,0,95,2.8,3.75,0
16602612,52,adjective,4,305,2,fíor,fior,0,true,truth,0,95,2.8,3.75,0
16602612,53,adjective,5,315,0,gearr,lu,0,short,cut,0,95,2.8,3.75,0
16602612,54,adjective,6,339,2,láidir,laidir,1,NA,NA,NA,95,2.8,3.75,0
16602612,55,adjective,3,364,2,beo,beo,1,NA,NA,NA,95,2.8,3.75,0
16602612,56,adjective,5,370,2,bocht,bocht,1,NA,NA,NA,95,2.8,3.75,0
16602612,57,adjective,7,407,1,iontach,tar bhar,0,great,great,1,95,2.8,3.75,0
16602612,58,adjective,4,432,2,glan,glan,1,NA,NA,NA,95,2.8,3.75,0
16602612,59,adjective,3,461,1,bog,NA,0,soft,soft,1,95,2.8,3.75,0
16602612,60,adjective,4,706,2,sean,sean,1,NA,NA,NA,95,2.8,3.75,0
16602613,1,concrete_noun,5,79,2,teach,teach,1,NA,NA,NA,80,3.2,3.5,0
16602613,2,concrete_noun,4,92,2,bean,bean,1,NA,NA,NA,80,3.2,3.5,0
16602613,3,concrete_noun,5,107,2,scoil,scoil,1,NA,NA,NA,80,3.2,3.5,0
16602613,4,concrete_noun,7,139,2,leabhar,leabhar,1,NA,NA,NA,80,3.2,3.5,0
16602613,5,concrete_noun,4,144,2,lámh,lámh,1,NA,NA,NA,80,3.2,3.5,0
